"ID","title","authors","abstract","url","date"
"1","Characterization of a Reconfigurable Free-Space Optical Channel for Embedded Computer Applications with Experimental Validation Using Rapid Prototyping Technology","Rafael Gil-Otero, Theodore Lim and John F Snowdon","Free-space optical interconnects (FSOIs) are widely seen as a potential solution to current and future bandwidth bottlenecks for parallel processors. In this paper, an FSOI system called optical highway (OH) i...","https://www.springeropen.com//jes-eurasipjournals.springeropen.com/articles/10.1155/2007/67603","14 February 2007"
"2","Review of computational neuroaesthetics: bridging the gap between neuroaesthetics and computer science","Rui Li and Junsong Zhang","The mystery of aesthetics attracts scientists from various research fields. The topic of aesthetics, in combination with other disciplines such as neuroscience and computer science, has brought out the burgeon...","https://www.springeropen.com//braininformatics.springeropen.com/articles/10.1186/s40708-020-00118-w","16 November 2020"
"3","Through a computational lens: using dual computer-criminology degree programs to advance the study of criminology and criminal justice practice","Colby L Valentine, Carter Hay, Kevin M Beaver and Thomas G Blomberg","Computational criminology seeks to address criminological and criminal justice problems through the use of applied mathematics, computer science, and criminology. The development of mathematical and computatio...","https://www.springeropen.com//security-informatics.springeropen.com/articles/10.1186/2190-8532-2-2","16 January 2013"
"4","A comparative analysis of two computer science degree offerings","Anna Carolina Finamore, Haydée G. Jiménez, Marco A. Casanova, Bernardo P. Nunes, Ana Moura Santos and António Pacheco Pires","This article presents an in-depth analysis and comparison of two computer science degree offerings, viz., the Bologna BSc in Information Systems and Computer Engineering, offered by the Instituto Superior Técn...","https://www.springeropen.com//journal-bcs.springeropen.com/articles/10.1186/s13173-020-00097-0","18 May 2020"
"5","Joint Letter from the Editor-in-Chief and the Publications Chair of the Brazilian Computer Society","Maria Cristina Ferreira de Oliveira and Karin Breitman","","https://www.springeropen.com//journal-bcs.springeropen.com/articles/10.1007/BF03194508","December 2009"
"6","Finding time for computer science in the elementary school day: a quasi-experimental study of a transdisciplinary problem-based learning approach","Jeanne Century, Kaitlyn A. Ferris and Huifang Zuo","As the number of computer science (CS) jobs become increasingly available in this country and computing skills become essential tools for managing all aspects of our personal lives, CS is quickly becoming an e...","https://www.springeropen.com//stemeducationjournal.springeropen.com/articles/10.1186/s40594-020-00218-3","15 May 2020"
"7","VeriSIM: A model-based learning pedagogy for fostering software design evaluation skills in computer science undergraduates","Prajish Prasad and Sridhar Iyer","Evaluating a software design is an important practice of expert software designers. They spend significant time evaluating their solution, by developing an integrated mental model of the software design and th...","https://www.springeropen.com//telrp.springeropen.com/articles/10.1186/s41039-022-00192-0","24 May 2022"
"8","Student-centered case-based teaching and online–offline case discussion in postgraduate courses of computer science","Xinhong Zhang, Boyan Zhang and Fan Zhang","This study explores a student-centered teaching method in postgraduate courses. Teacher-centered classroom teaching cannot fully stimulate learning initiative and enthusiasm of students. Student-centered means...","https://www.springeropen.com//educationaltechnologyjournal.springeropen.com/articles/10.1186/s41239-022-00374-2","31 January 2023"
"9","SAT patterns and engineering and computer science college majors: an intersectional, state-level study","Lin Tan, Isabel S. Bradburn, David B. Knight, Timothy Kinoshita and Jacob Grohs","Numerous efforts worldwide have been made to increase diversity in engineering and computer science (ECS), fields that pay well and promote upward mobility. However, in the United States (U.S.), females and st...","https://www.springeropen.com//stemeducationjournal.springeropen.com/articles/10.1186/s40594-022-00384-6","5 November 2022"
"10","Application-based principles of islamic geometric patterns; state-of-the-art, and future trends in computer science/technologies: a review","Mohammadreza Ranjazmay Azari, Mohammadreza Bemanian, Mohammadjavad Mahdavinejad, Axel Körner and Jan Knippers","Currently, there is a tendency to use Islamic Geometric Patterns (IGPs) as important identities and cultural elements of building design in the Middle East. Despite high demand, lack of information about the p...","https://www.springeropen.com//heritagesciencejournal.springeropen.com/articles/10.1186/s40494-022-00852-w","1 February 2023"
